meeting_date,tier,item_or_resolution,action_type,developer_owner,project_name,address,tif_amount_usd,total_project_cost_usd,disposition,vote,confidence,flags,source_url,summary
2016-07-11,1,32,other,"Roers Investments, LLC",,2301 Ingersoll Avenue; 1400 Walnut Street,,50000000.0,approved,7-0,high,,https://councildocs.dsm.city/communications/2016/16-388.pdf,
2016-07-11,2,16-1120,,,,,,,,7-0,,tier2_screen_only;urban renewal,https://councildocs.dsm.city/agendas/ag20160711.pdf,"23. On the proposed First Amendment to the Urban Renewal Plan for Fleur Drive Commercial Urban Renewal Area, (8-8-16). (Council Communication No. 16-385)"
2016-07-11,2,24,,,,,,,,7-0,,tier2_screen_only;revenue bond,https://councildocs.dsm.city/agendas/ag20160711.pdf,"24. On the following bond issues: (A) Not to exceed $33,500,000 General Obligation Refunding Bonds, Series 2016B, (Essential Corporate Purposes), (7-25-16). (Council Communication No. 16-390) (B) Not to exceed $5,400,000 Stormwater Management Utility Revenue Bonds, Series 2016C, (current refunding p"
2016-07-11,2,16-1143,,,,,,,,7-0,,tier2_screen_only;municipal housing,https://councildocs.dsm.city/agendas/ag20160711.pdf,"40. Authorizing Finance Director to draw checks on registers for the weeks of July 11 and 18, 2016; and to draw checks for the bills of the Des Moines Municipal Housing Agency for the weeks of July 11 and 18, 2016; and to draw checks for biweekly payroll due on July 22, 2016. ORDINANCES - FINAL CONS"
2016-07-25,2,16-1203,,,,,,,,7-0,,tier2_screen_only;urban renewal,https://councildocs.dsm.city/agendas/ag20160725.pdf,"21. On the Proposed Urban Renewal Plan for the Forest Avenue Urban Renewal Area, (9- 12-16). (Council Communication No. 16-402)"
2016-07-25,2,16-1227,,,,,,,,7-0,,tier2_screen_only;municipal housing,https://councildocs.dsm.city/agendas/ag20160725.pdf,"41. Authorizing Finance Director to draw checks on registers for the weeks of July 25 and August 1, 2016; and to draw checks for the bills of the Des Moines Municipal Housing Agency for the weeks of July 25 and August 1, 2016; and to draw checks for biweekly payroll due on August 5, 2016. * * * * * "
2016-08-08,1,25,other,"M & R Holding, LLC",Beaver Cove Townhomes,4209 Lower Beaver Road,,5700000.0,continued,7-0,high,,https://councildocs.dsm.city/communications/2016/16-432.pdf,
2016-08-08,1,16-1340,approve development agreement,"Janssen Lodging, Inc.",Hotel Fort Des Moines renovation,1000 Walnut Street,4118993.0,37000000.0,approved,6-1,high,,https://councildocs.dsm.city/communications/2016/16-434.pdf,
2016-08-08,1,47,other,Neighborhood Development Corporation,Forest Avenue Village,"3201, 3211 and 3221 Forest Avenue; 1414 and 1420 32nd Street",731319.0,7600000.0,approved,7-0,high,,https://councildocs.dsm.city/communications/2016/16-432.pdf,
2016-08-08,1,16-1359,other,"Electro Management Corp. / Electrical Power Products, Inc. (EP2)",Electrical Power Products Headquarters (EP2),SE corner of Highway 28 and Army Post Road adjoining 4240 Army Post Road,3300000.0,18000000.0,approved,7-0,medium,,https://councildocs.dsm.city/communications/2016/16-436.pdf,
2016-08-08,2,16-1330,,,,,,,,7-0,,tier2_screen_only;municipal housing,https://councildocs.dsm.city/agendas/ag20160808.pdf,"35. Authorizing Finance Director to draw checks on registers for the weeks of August 8 and 15, 2016; and to draw checks for the bills of the Des Moines Municipal Housing Agency for the weeks of August 8 and 15, 2016; and to draw checks for biweekly payroll due on August 19, 2016. ORDINANCES - SECOND"
2016-08-08,2,16-1362,,,,,,,,7-0,,tier2_screen_only;urban renewal,https://councildocs.dsm.city/agendas/ag20160808.pdf,51. On the proposed First Amendment to the Urban Renewal Plan for Fleur Drive Commercial Urban Renewal Area. (Council Communication No. 16-435)
2016-08-22,1,16-1410,other,"M & R Holdings, LLC",Beaver Cove Townhomes,4209 Lower Beaver Road,,,approved,5-1-1,medium,figure_not_in_source,https://councildocs.dsm.city/agendas/ag20160822.pdf,
2016-08-22,1,16-1411,approve development agreement,"220 SE 6th Street Properties, LLC",220 SE 6th Street office building and parking structure (PDM Precast / GPS Impact),220 SE 6th Street,,10700000.0,approved,5-1-1,high,,https://councildocs.dsm.city/communications/2016/16-479.pdf,
2016-08-22,1,16-1412,amend agreement,"Fort Des Moines Restoration, LLC",Historic Fort Des Moines rehabilitation (142 residential units),"Historic Fort Des Moines (south of Army Post Road, east of SW 9th Street)",2037983.0,37000000.0,approved,6-1,high,,https://councildocs.dsm.city/communications/2016/16-480.pdf,
2016-08-22,1,16-1413,amend agreement,"Raccoon Valley Investment Company, L.C.",Fleur Drive commercial area (Panera Bread Cafe / former Mezzodi's site),"4519 Fleur Drive (east of Fleur Drive, north of McKinley Avenue)",,,approved,6-1,medium,,https://councildocs.dsm.city/communications/2016/16-470.pdf,
2016-08-22,1,16-1415,amend agreement,"College Hill Associates, L.P. (owner) / Newbury Management Company (developer)",College Hill Apartments renovation + commercial office building,921 6th Avenue,,,approved,6-1,high,,https://councildocs.dsm.city/communications/2016/16-471.pdf,
2016-08-22,2,16-1403,,,,,,,,6-1,,tier2_screen_only;urban renewal,https://councildocs.dsm.city/agendas/ag20160822.pdf,"26. On proposed Second Amendment to the Urban Renewal Plan for the Accent Neighborhood Urban Renewal Project, (9-26-16). (Council Communication No. 16-473) LEGAL DEPARTMENT - CLAIM SETTLEMENTS & BILLINGS"
2016-08-22,2,59,,,,,,,,7-0,,tier2_screen_only;revenue bond,https://councildocs.dsm.city/agendas/ag20160822.pdf,"59. On the following bond issues (award of the sale of bonds will be on August 31, 2016 at 4:00 PM): (Council Communication No. 16-483) (A) Not to exceed $5,400,000 Stormwater Management Utility Revenue Bonds, Series 2016C (new money CIP portion). (1) Authorization for additional action. (B) Not to "
2016-09-12,1,16-1528,approve development agreement,"Excell Marketing, L.C.",Excell Marketing facility expansion,5501 Park Avenue,,5300000.0,approved,7-0,high,,https://councildocs.dsm.city/communications/2016/16-520.pdf,
2016-09-12,1,16-1530,other,"Liberty Des Moines, L.L.C. (assignee, Schulte Hospitality Group); Liberty Building Historic Rehab, LLC / 418 Hospitality, LLC (assignors)",Liberty Building Rehabilitation & Parking Garage / Hyatt Place Hotel,418 6th Avenue,,,approved,7-0,medium,figure_not_in_source,https://councildocs.dsm.city/communications/2016/16-501.pdf,
2016-09-12,1,16-1573,approve development agreement,Neighborhood Development Corporation (NDC),Forest Avenue Village (50-unit multi-family),"3201 Forest Avenue (3221, 3211, 3201 Forest Ave; 1420 & 1414 32nd St)",,7600000.0,approved,7-0,high,,https://councildocs.dsm.city/communications/2016/16-516.pdf,
2016-09-12,2,16-1531,,,,,,,,7-0,,tier2_screen_only;urban renewal,https://councildocs.dsm.city/agendas/ag20160912.pdf,"54. First Amendment to Urban Renewal Agreement for sale of land for private development with Grand 7 Partners, LLC and approving Conceptual Development Plan for the redevelopment of the property, east of 7th Street between Grand Avenue and High Street. (Council Communication No. 16-517)"
2016-09-12,2,16-1552,,,,,,,,7-0,,tier2_screen_only;municipal housing,https://councildocs.dsm.city/agendas/ag20160912.pdf,"68. Authorizing Finance Director to draw checks on registers for the weeks of September 12 and 19, 2016; and to draw checks for the bills of the Des Moines Municipal Housing Agency for the weeks of September 12 and 19, 2016; and to draw checks for bi-weekly payroll due on September 16, 2016. ORDINAN"
2016-09-12,2,16-1564,,,,,,,,7-0,,tier2_screen_only;revenue bond,https://councildocs.dsm.city/agendas/ag20160912.pdf,"78. Authorizing and providing for issuance of $12,715,000 Stormwater Management Utility Revenue Bonds, Series 2016C, and providing for method of payment, approval of the Tax Exempt Certificate and Continuing Disclosure Certificate."
2016-09-26,1,16-1614,other,"East Village Tower Partners, LLC",Lyon Flats (605 E. 5th Street),605 E. 5th Street,,4000000.0,approved,6-1,high,,https://councildocs.dsm.city/communications/2016/16-541.pdf,
2016-09-26,1,16-1615,amend agreement,"East Village Tower Partners, LLC",The Lyon Apartments / Lyon Flats,600 E. 5th Street (also referenced 605 E. 5th Street),,,approved,6-1,medium,,https://councildocs.dsm.city/communications/2016/16-540.pdf,
2016-09-26,2,16-1671,,,,,,,,6-1,,tier2_screen_only;urban renewal,https://councildocs.dsm.city/agendas/ag20160926.pdf,65. On proposed Second Amendment to the Urban Renewal Plan for the Accent Neighborhood Urban Renewal Project. (Council Communication No. 16-545)
2016-10-10,1,16-1751,ordinance,,,,,,approved,7-0,high,,https://councildocs.dsm.city/communications/2016/16-569.pdf,
2016-10-10,2,16-1743,,,,,,,,7-0,,tier2_screen_only;municipal housing,https://councildocs.dsm.city/agendas/ag20161010.pdf,"46. Authorizing Finance Director to draw checks on registers for the weeks of October 10 and 17, 2016; and to draw checks for the bills of the Des Moines Municipal Housing Agency for the weeks of October 10 and 17, 2016; and to draw checks for biweekly payroll due on October 14, 2016. ORDINANCES - F"
2016-10-10,2,16-1755,,,,,,,,7-0,,tier2_screen_only;urban renewal,https://councildocs.dsm.city/agendas/ag20161010.pdf,"56. On vacation of alley right-of-way and vacation of air space in Grand Avenue and 7th Street adjoining 665 Grand Avenue, and conveyance of such alley right-of-way and an Airspace Easement to Grand 7 Partners, LLC for $224,525.00 and authorizing the City Manager to execute a Temporary Access Agreem"
2016-10-24,2,16-1842,,,,,,,,7-0,,tier2_screen_only;municipal housing,https://councildocs.dsm.city/agendas/ag20161024.pdf,"44. Authorizing Finance Director to draw checks on registers for the weeks of October 24 and 31, 2016; and to draw checks for the bills of the Des Moines Municipal Housing Agency for the weeks of October 24 and 31, 2016; and to draw checks for biweekly payroll due on October 28, 2016. ORDINANCES - F"
