meeting_date,meeting_type,agenda_url,minutes_url
2016-07-11,regular,https://councildocs.dsm.city/agendas/ag20160711.pdf,https://councildocs.dsm.city/minutes/as20160711.pdf
2016-07-25,regular,https://councildocs.dsm.city/agendas/ag20160725.pdf,https://councildocs.dsm.city/minutes/as20160725.pdf
2016-08-08,regular,https://councildocs.dsm.city/agendas/ag20160808.pdf,https://councildocs.dsm.city/minutes/as20160808.pdf
2016-08-22,regular,https://councildocs.dsm.city/agendas/ag20160822.pdf,https://councildocs.dsm.city/minutes/as20160822.pdf
2016-09-12,regular,https://councildocs.dsm.city/agendas/ag20160912.pdf,https://councildocs.dsm.city/minutes/as20160912.pdf
2016-09-26,regular,https://councildocs.dsm.city/agendas/ag20160926.pdf,https://councildocs.dsm.city/minutes/as20160926.pdf
2016-10-10,regular,https://councildocs.dsm.city/agendas/ag20161010.pdf,https://councildocs.dsm.city/minutes/as20161010.pdf
2016-10-24,regular,https://councildocs.dsm.city/agendas/ag20161024.pdf,https://councildocs.dsm.city/minutes/as20161024.pdf
2016-11-07,regular,https://councildocs.dsm.city/agendas/ag20161107.pdf,https://councildocs.dsm.city/minutes/as20161107.pdf
2016-11-21,regular,https://councildocs.dsm.city/agendas/ag20161121.pdf,https://councildocs.dsm.city/minutes/as20161121.pdf
2016-12-05,regular,https://councildocs.dsm.city/agendas/ag20161205.pdf,https://councildocs.dsm.city/minutes/as20161205.pdf
2016-12-19,regular,https://councildocs.dsm.city/agendas/ag20161219.pdf,https://councildocs.dsm.city/minutes/as20161219.pdf
2017-01-09,regular,https://councildocs.dsm.city/agendas/ag20170109.pdf,https://councildocs.dsm.city/minutes/as20170109.pdf
2017-01-23,regular,https://councildocs.dsm.city/agendas/ag20170123.pdf,https://councildocs.dsm.city/minutes/as20170123.pdf
2017-02-06,regular,https://councildocs.dsm.city/agendas/ag20170206.pdf,https://councildocs.dsm.city/minutes/as20170206.pdf
2017-02-20,regular,https://councildocs.dsm.city/agendas/ag20170220.pdf,https://councildocs.dsm.city/minutes/as20170220.pdf
