Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
900 Vine LLC,Five-story mixed-use building at 900 Vine Street,Mixed-use,900 Vine Street,4500000.0,unverified (no NPV stated in source),,10.7,"Capped TIF maximum value of $4.5 million in project-generated tax increment on NPV basis at 4.5% discount rate; schedule 0% year 1, 95% years 2-6, 90% years 7-9, 85% year 10, 80% years 11-13, 75% years 14-15",42250000.0,,approved,,30.0,6758220.0,19282822.0,16681212.0,,,1170100.0,,DES MOINES METRO CENTER MERGED UR,,160.0,Metro Center Urban Renewal Area,25,resolution of intent,2026-07-13,,,,medium,,2026-07-13: resolution of intent [25],2026-07-13,2026-07-13,https://councildocs.dsm.city/communications/2026/26-254.pdf,1,capped TIF maximum value of $4.5 million in project generated tax increment
"Threshing Warehouse, LLC",Threshing Warehouse - historic renovation/conversion of 108 SE 4th Street to office,Office,108 Southeast 4th Street,1750000.0,NPV (confirmed),,12.8,"TIF from increment on building valuation (exclusive of land), 95% for 20 years, not to exceed $1.75 million NPV at 4.5% discount rate; 20-year schedule starts after first full tax year (no rebate first taxing year)",13700000.0,,approved,,30.0,3270976.0,4303407.0,3575351.0,,,527000.0,1895.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,26-0748,approve development agreement,2026-06-29,approved,7-0,,high,disposition_not_in_minutes;counterparty_changed_across_actions;multi_meeting_project,2026-05-04: resolution of intent [26-0562] | 2026-05-18: resolution of intent [26-0618] (approved) | 2026-06-29: approve development agreement [26-0748] (approved),2026-06-29,2026-06-29,https://councildocs.dsm.city/communications/2026/26-229.pdf,1,not to exceed $1.75 million on a net present value basis
"Ingersoll Properties Group, LLC",Rehabilitation of commercial property and parking at 2700 Ingersoll Avenue,Commercial (MAA / abatement),2700 Ingersoll Avenue,850000.0,unverified (no NPV stated in source),,10.4,"TIF in lieu of tax abatement; capped TIF maximum value of $850,000 in project-generated TIF on NPV basis at 4.5% discount rate; 80% for 7 years",8200000.0,,approved,,,,,,,,2880000.0,1997.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,Ingersoll-Grand Urban Renewal Area,26-0678,resolution of intent,2026-06-08,approved,5-1,"Gatto (declared conflict of interest, abstained)",high,multi_meeting_project,2026-03-09: resolution of intent [26-0308] | 2026-06-08: resolution of intent [26-0678] (approved),2026-06-08,2026-06-08,https://councildocs.dsm.city/communications/2026/26-212.pdf,1,"capped TIF maximum value of $850,000 in project-generated TIF"
Heart of America,Commercial office building at 401 Robert D. Ray Drive (East Village),Office,401 Robert D. Ray Drive,,,,,,,,approved,,,,,,,,,,,,,,26-0676,other,2026-06-08,approved,7-0,,medium,,2026-06-08: other [26-0676] (approved),,,https://councildocs.dsm.city/communications/2026/26-204.pdf,1,receive and file developer-initiated proposal and negotiate preliminary terms
"Greater Des Moines Habitat for Humanity, Inc.",Habitat for Humanity townhome project at 6100 Hickman Road,Residential,6100 Hickman Road,674000.0,unverified (no NPV stated in source),,10.9,"TIF from increment on building valuation (exclusive of land), 100% for 11 years, not to exceed $674,000 NPV at 4.5% discount rate",6200000.0,,approved,,30.0,907638.0,3613879.0,3613879.0,,,636000.0,,,22.0,22.0,,26-0677,resolution of intent,2026-06-08,approved,7-0,,high,,2026-06-08: resolution of intent [26-0677] (approved),2026-06-08,2026-06-08,https://councildocs.dsm.city/communications/2026/26-207.pdf,1,"not to exceed $674,000 on a net present value basis"
"420 Court Avenue, LLC",Full-service grocery store at 420 Court Avenue (Hy-Vee),Retail / restaurant,"420 Court Avenue, Des Moines, IA",,,,,,,,approved,,,,,,161018.0,206 6th Avenue LLC,,,,,,Metro Center Urban Renewal Area,26-0619,amend agreement,2026-05-18,approved,7-0,,high,multi_meeting_project,2024-05-06: amend agreement [24-0666] (approved) | 2026-05-18: amend agreement [26-0619] (approved),,,https://councildocs.dsm.city/communications/2026/26-185.pdf,1,The requested Second Amendment identifies revised hours of operation
"JJR Holdings LLC; Kingman Place Townhomes, LLC; Lawmark LP; 615 Euclid LLC",Workforce Housing Tax Credit (WHTC) support resolutions - 4 projects,Residential,1245 21st Street; 3125 Kingman Blvd; 606 Walnut Street; 615 Euclid Avenue,,,,,,93000000.0,"other $240,000 ((A) Carpenter Row, JJR Holdings LLC - estimated WHTC state benefit; local match $16,000 from Brownfield Revolving Loan Fund; $3,343,000 investment, 16 units); other $450,000 ((B) Kingman Townhomes, Kingman Place Townhomes, LLC (HOME, Inc.) - estimated WHTC benefit; local match $340,000 from City HOME funds; $7,099,120 project, 20 units); other $1,000,000 ((C) Mezzo on Walnut, Lawmark LP - estimated WHTC benefit; local match estimated $10,000,000 from TIF economic development rebates; $77,000,000 project, 209 units); other $250,119 ((D) University of Commerce Historic Renovation, 615 Euclid LLC - estimated WHTC benefit; local match estimated $28,250 from tax abatement; $5,768,814 project, 14 units)",approved,,,,,,,,13887000.0,1973.0,DES MOINES METRO CENTER MERGED UR,,259.0,,26-0564,other,2026-05-04,approved,7-0,,high,,2026-05-04: other [26-0564] (approved),,2026-05-04,https://councildocs.dsm.city/communications/2026/26-171.pdf,1,"WHTC benefits estimated at $1,940,119"
,Carpenter TIF District No. 2,TIF district / UR plan,,,,,,,,,approved,,,,,,,,,,,,,Carpenter Urban Renewal Area,26-0515,ordinance,2026-04-20,approved,7-0,,medium,multi_meeting_project,2026-04-06: ordinance [26-0474] (approved) | 2026-04-15: ordinance [36] | 2026-04-20: ordinance [26-0515] (approved),,,https://councildocs.dsm.city/agendas/ag20260420.pdf,6,Establishing the Carpenter TIF District No. 2
,"Amended and Restated Minimum Assessment Agreement, 4347 Merle Hay Road",Commercial (MAA / abatement),4347 Merle Hay Road,,,,,,,tax abatement (Commercial tax abatement per Iowa Code 404; amended and restated MAA corrects an incorrect legal description; no change to the minimum assessment value (value not restated in this CC)),approved,,,,,,,,12400000.0,1976.0,,,,,26-0437,amend agreement,2026-04-06,approved,7-0,,medium,figure_not_in_source;multi_meeting_project,2025-07-14: other [25-0979] (approved) | 2026-04-06: amend agreement [26-0437] (approved),,,https://councildocs.dsm.city/communications/2026/26-127.pdf,1,Amended and Restated Minimum Assessment Agreement (MAA) for 4347 Merle Hay
"UA Station, LLC","UA Station apartment building, 2211 University Avenue",Residential,2211 University Avenue,200000.0,unverified (no NPV stated in source),,3.6,"capped TIF maximum value of $200,000 in project-generated tax increment, NPV at 4.5% discount rate; 95% years 1-5, 90% years 6-8, 50% year 9; targeted exclusively to cost of overhead utility undergrounding",5480000.0,,approved,,30.0,262258.0,3563834.0,2438540.0,,,257000.0,,,,35.0,Carpenter Urban Renewal Area,26-0433,approve development agreement,2026-04-06,approved,7-0,,high,,2026-04-06: approve development agreement [26-0433] (approved),2026-04-06,2026-04-06,https://councildocs.dsm.city/communications/2026/26-120.pdf,1,"a capped tax increment financing (TIF) maximum value of $200,000"
"The District Developer, LLC","The District master development (Market District, Lot 9)",Residential,Lot 9 in the Market District,,,,,,,,approved,,,,,,,,,,,,,,26-0376,amend agreement,2026-03-23,approved,7-0,,medium,,2026-03-23: amend agreement [26-0376] (approved),,,https://councildocs.dsm.city/communications/2026/26-112.pdf,1,Fourth Amendment to Amended and Restated Urban Renewal Development Agreement
"Market District Apartments, LP",Foundry Lofts,Residential,509 SE 6th Street,625000.0,unverified (no NPV stated in source),,4.2,"capped TIF maximum value of $625,000 in project-generated tax increment, NPV at 4.5% discount rate; 95% in years 1-15",15000000.0,"forgivable loan $189,000 (Forgivable loan for the appraised fair market value ($189,000) of the city-owned 8,420 sq ft lot at 515 SE 6th Street that developer must acquire; promissory note included in development agreement)",approved,,30.0,954159.0,2367806.0,2116916.0,,,163000.0,1943.0,DES MOINES METRO CENTER MERGED UR,19.0,46.0,Metro Center Urban Renewal Area,26-0309,approve development agreement,2026-03-09,approved,7-0,,high,multi_meeting_project;counterparty_changed_across_actions,2025-01-27: resolution of intent [25-0123] (approved) | 2026-03-09: approve development agreement [26-0309] (approved) | 2026-04-15: amend agreement [22] | 2026-04-20: amend agreement [26-0500] (approved),2026-03-09,2026-03-09,https://councildocs.dsm.city/communications/2026/26-092.pdf,1,"a capped TIF maximum value of $625,000 in project-generated"
INGERSOLL THEATER LLC,"Minimum assessment agreement for commercial tax abatement, 3711 Ingersoll Avenue",Commercial (MAA / abatement),"3711 Ingersoll Ave, Des Moines, IA 50312",,,,,,,"tax abatement (Commercial tax abatement per Iowa Code 404; minimum assessment agreement value $205,000)",approved,,,,,,,,205000.0,1970.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,,26-0313,other,2026-03-09,approved,7-0,,medium,figure_not_in_source,2026-03-09: other [26-0313] (approved),,,https://councildocs.dsm.city/communications/2026/26-093.pdf,1,"INGERSOLL THEATER LLC $205,000"
JDS Real Estate Investments LLC,"Rehabilitation of Davidson Warehouse office building, 108 3rd Street",Office,108 3rd Street,1300000.0,unverified (no NPV stated in source),,17.6,"capped TIF maximum value of $1.3 million in project-generated tax increment, NPV at 4.5% discount rate; 95% years 1-5, 85% years 6-10, 75% years 11-15",7400000.0,,approved,,,,,,,,1250000.0,1901.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,26-0244,approve development agreement,2026-02-23,approved,7-0,,high,ambiguous_disposition;multi_meeting_project,2025-09-08: resolution of intent [25-1220] (approved) | 2026-02-23: approve development agreement [26-0244] (approved),2026-02-23,2026-02-23,https://councildocs.dsm.city/communications/2026/26-069.pdf,1,a capped tax increment financing (TIF) maximum value of $1.3 million
"OpenLoop Health, Inc.",OpenLoop Health HQJ Program / Development Agreement 1st Amendment,Office,909 Locust Street (relocated from 317 6th Avenue),,,,,,,"forgivable loan $250,000 (Original $250,000 economic development forgivable loan (local city match to IEDA High Quality Jobs contract, approved 2023-04-10); 1st Amendment requires partial repayment of $187,500 to the City on or before July 10, 2026, extends job creation deadline to July 10, 2028, and reduces required jobs from 400 to 100 (60 at HQJ wage thresholds))",approved,,,,,,,,31600000.0,2015.0,DES MOINES METRO CENTER MERGED UR,,,,"26-0245, 26-0246",amend agreement,2026-02-23,approved,7-0,,high,,"2026-02-23: amend agreement [26-0245, 26-0246] (approved)",,,https://councildocs.dsm.city/communications/2026/26-049.pdf,1,"economic development forgivable loan in the amount of $187,500"
UTILITY SPECIALISTS LLC; REASONER'S GARAGE INC.,Minimum assessment agreements for commercial tax abatement (2 properties),Commercial (MAA / abatement),"601 Army Post Rd and 403 E. Jackson Ave, Des Moines, IA 50315",,,,,,,"tax abatement (Commercial tax abatement per Iowa Code 404; minimum assessment agreement value $56,000 for 601 Army Post Rd (Utility Specialists LLC)); tax abatement (Commercial tax abatement per Iowa Code 404; minimum assessment agreement value $86,000 for 403 E. Jackson Ave (Reasoner's Garage Inc.))",approved,,,,,,,,56000.0,2025.0,,,,,26-0184,other,2026-02-09,approved,7-0,,medium,figure_not_in_source,2026-02-09: other [26-0184] (approved),,,https://councildocs.dsm.city/communications/2026/26-035.pdf,1,"UTILITY SPECIALISTS LLC $56,000"
Riverview Parking LLC,,Other,,,,,,,,,approved,,,,,,,,,,,,,,26-0070,other,2026-01-12,approved,6-0,Council Member Mandelbaum declared a conflict of interest and abstained from voting,low,figure_not_in_source,2026-01-12: other [26-0070] (approved),,,https://councildocs.dsm.city/agendas/ag20260112.pdf,6,Collateral Assignment of Urban Renewal Development Agreement with Riverview Parking LLC
The Annex Group,Cherry Street Parking Lot six-story mixed-use development at 100 SW 5th Street,Mixed-use,100 SW 5th Street,5140000.0,unverified (no NPV stated in source),,6.8,"capped TIF maximum value of $5.14 million in project-generated tax increment on NPV basis at 4.5% discount rate; 90% in years 1-10, 85% in years 11-20; estimated 6.8% of total project financing",75950000.0,"grant (ground-floor commercial occupancy grant: $5 per square foot paid for occupied ground-floor commercial tenants, maximum $30,000 per year, funded from project-generated tax increment); forgivable loan $1,200,000 (from Polk County (not the City): $1.2 million forgivable loan structured as 50% discount on the $2.4 million land purchase price; forgiven if 30-year housing affordability provisions are kept); tax abatement (Developer intends to file for 10-year declining residential tax abatement on the project)",approved,,30.0,15106401.0,27609200.0,23229706.0,383604.0,ST DEVELOPMENT,,,,,280.0,Metro Center Urban Renewal Area,25-1683,resolution of intent,2025-12-22,approved,7-0,,high,,2025-12-22: resolution of intent [25-1683] (approved),2025-12-22,2025-12-22,https://councildocs.dsm.city/communications/2025/25-474.pdf,2,capped TIF maximum value of $5.14 million
"Goldfinch Apartments, LP, Goldfinch Commercial, LLC and VisionBank of Iowa",Goldfinch mixed-use redevelopment of 3404-3422 Ingersoll Avenue,Mixed-use,3404-3422 Ingersoll Avenue,,,,,forgivable loan equivalent to 94.1% of the project generated TIF in Years 1 through 8 on a net present value (NPV) at a 4.5% discount rate,12355000.0,"forgivable loan $300,000 (forgivable loan of $300,000, equivalent to 94.1% of project-generated TIF years 1-8 NPV at 4.5% discount rate; advanced within 30 days of issuance of certificate of completion); tax abatement (First Amendment revises Section 5.1 to change from the 3-year 100% tax abatement program to the 10-year declining commercial tax abatement schedule)",approved,,,,,,,,689000.0,1973.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,Ingersoll-Grand Urban Renewal Area,25-1602,amend agreement,2025-12-08,approved,7-0,,high,,2025-12-08: amend agreement [25-1602] (approved),,2025-12-08,https://councildocs.dsm.city/communications/2025/25-443.pdf,1,"forgivable loan in the amount of $300,000"
,Four minimum assessment agreements for commercial tax abatement (Iowa Code 404),Commercial (MAA / abatement),4814 SW 9th Street; 515 Euclid Avenue; 2001 E Grand Avenue; 3115 Douglas Avenue,,,,,,,"tax abatement (4814 SW 9th Street (SS Holding Company LLC): minimum assessment agreement value $182,100); tax abatement (515 Euclid Avenue (515 Euclid LLC): minimum assessment agreement value $32,300); tax abatement (2001 E Grand Avenue (JDE Investments LLC and ARB Properties LLC): minimum assessment agreement value $876,000); tax abatement (3115 Douglas Avenue (Inmobiliaria World Holdings Inc): minimum assessment agreement value $368,000)",approved,,,,,,,,1750300.0,2024.0,,,,,25-1604,other,2025-12-08,approved,7-0,,medium,figure_not_in_source,2025-12-08: other [25-1604] (approved),,,https://councildocs.dsm.city/communications/2025/25-447.pdf,1,Minimum assessment values for each property are shown below
"ECG Southridge, LP",ECG Southridge 160-unit apartment building at 7210 SE 14th Street,Residential,7210 SE 14th Street,1380798.0,unverified (no NPV stated in source),,2.2,"capped project-generated TIF maximum value of $1,380,798 on NPV basis at 4.5% discount rate; 90% in years 1-4, 85% in years 5-9, 80% in year 10; estimated 2.23% of total project financing",61733000.0,,approved,,,,,,,,21740.0,,,160.0,160.0,Southside Urban Renewal Area,25-1221,resolution of intent,2025-09-08,,,,medium,disposition_not_in_minutes,2025-09-08: resolution of intent [25-1221],2025-09-08,2025-09-08,https://councildocs.dsm.city/communications/2025/25-330.pdf,1,"maximum value of $1,380,798 in project-generated tax increment"
61st Street Construction LLC (VareCo),1603 Walker Street housing project (WHTC application),Residential,1603 Walker Street,,,,,,1980000.0,"other $180,000 (Estimated State of Iowa Workforce Housing Tax Credit (WHTC) benefit; local match (minimum $1,000 per unit) through qualified by-right tax abatement)",approved,,,,,,,,12900.0,,,,12.0,,25-0834,other,2025-06-09,approved,7-0,,high,,2025-06-09: other [25-0834] (approved),,2025-06-09,https://councildocs.dsm.city/communications/2025/25-231.pdf,1,"WHTC benefits estimated at $180,000"
Urban Dreams,Urban Dreams WHTC housing project at 1411 7th Street,Residential,1411 7th Street,,,,,,1750000.0,"other $66,000 (State of Iowa Workforce Housing Tax Credit (WHTC) benefits estimated at $66,000; city resolution of support for application to IEDA); tax abatement (required local match (minimum $1,000 per housing unit) provided through qualified by-right tax abatement)",approved,,,,,,,,24500.0,,DES MOINES METRO CENTER MERGED UR,6.0,6.0,,25-0835,other,2025-06-09,approved,7-0,,high,,2025-06-09: other [25-0835] (approved),,2025-06-09,https://councildocs.dsm.city/communications/2025/25-231.pdf,1,"Item 33-I: WHTC benefits estimated at $66,000"
,Minimum Assessment Agreements - 4205 and 4241 Merle Hay Road,Commercial (MAA / abatement),4205 Merle Hay Road; 4241 Merle Hay Road,,,,,,,"tax abatement ((A) 4205 Merle Hay Road: commercial tax abatement with Minimum Assessment Agreement of $1,010,000; new construction Green State Credit Union branch); tax abatement ((B) 4241 Merle Hay Road: commercial tax abatement with Minimum Assessment Agreement of $395,500; new construction 7 Brew coffee shop; Park Hill Holdings LLC)",approved,,,,,,,,1744000.0,2025.0,,,,,35,other,2025-06-09,approved,7-0,,medium,figure_not_in_source,2025-06-09: other [35] (approved),,,https://councildocs.dsm.city/communications/2025/25-217.pdf,1,"Minimum assessment of $1,010,000."
Riverview Parking LLC,Riverview multilevel parking structure and 218 E. 2nd Street office renovation,Parking,"200, 210, and 216 E. Court Avenue (parking structure); 218 E. 2nd Street (office building)",6020000.0,unverified (no NPV stated in source),,16.6,"Approximately $6.02 million in project-generated tax increment at NPV at 4.5% discount rate ($10.05 million on a cash basis), paid with 100% of the project-generated building TIF in years 1 through 20",36300000.0,,approved,,30.0,10049046.0,24316920.0,9755865.0,,,7700000.0,1994.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,25-0751,approve development agreement,2025-05-19,approved,6-0,Council Member Mandelbaum declared an appearance of a conflict of interest and abstained from voting,high,counterparty_changed_across_actions;multi_meeting_project,2024-09-16: resolution of intent [24-1259] (approved) | 2025-05-19: approve development agreement [25-0751] (approved) | 2026-02-23: other [26-0249] (approved),2025-05-19,2025-05-19,https://councildocs.dsm.city/communications/2025/25-196.pdf,1,approximately $6.02 million in project-generated tax increment
Highland Park Flats LLC,Highland Park Flats,Residential,3608-3610 5th Avenue,252608.0,unverified (no NPV stated in source),,9.6,"Capped TIF maximum incentive of $252,608 in project-generated tax increment on NPV basis at 4.5% discount rate; schedule 95% years 1-5, 85% years 6-10, 80% years 11-15, 70% year 16",2635000.0,,approved,,30.0,382579.0,857689.0,794817.0,,,89600.0,,DES MOINES OAK PARK-HIGHLAND PARK UR,2.0,12.0,Oak Park Highland Park Urban Renewal Area,25-0752,approve development agreement,2025-05-19,approved,7-0,,high,multi_meeting_project,2024-11-18: resolution of intent [24-1575] (approved) | 2025-05-19: approve development agreement [25-0752] (approved) | 2026-04-15: amend agreement [21] | 2026-04-20: amend agreement [26-0499] (approved),2025-05-19,2025-05-19,https://councildocs.dsm.city/communications/2025/25-194.pdf,1,"maximum incentive of $252,608 in project-generated tax increment"
"United Properties Investment Company, LC and Echo Valley Investment Company, LC",Echo Valley development area (south of County Line Road and Echo Valley Drive),Residential,8050 Golf House Drive (Parcel Development Agreement); development area south of County Line Road and Echo Valley Drive,600000.0,unverified (no NPV stated in source),,,"Up to $600,000 in TIF incentives to acknowledge commercial improvements completed under the existing agreement; funded from Echo Valley Urban Renewal Area TIF",,,approved,,,,,,,,,,,,,Echo Valley Urban Renewal Area,25-0754,amend agreement,2025-05-19,approved,7-0,,high,multi_meeting_project,2025-05-05: amend agreement [25-0664] (withdrawn) | 2025-05-19: amend agreement [25-0754] (approved),2025-05-19,,https://councildocs.dsm.city/communications/2025/25-192.pdf,2,"Up to $600,000 for the First Parcel Development Agreement"
"United Properties Investment Company, LC and Raccoon Valley Investment Company, LC",Echo Valley development area north of County Line Road and Echo Valley Drive (Master Urban Renewal Development Agreement),TIF district / UR plan,"55-acre area bounded by Echo Valley Drive/County Line Road (south), SW 42nd Street (west), Highway 5 (north and east)",,,,,,,,approved,,,,,,,,,,,,,Airport Development Urban Renewal Area,25-0756,approve development agreement,2025-05-19,approved,7-0,,medium,multi_meeting_project,2025-05-05: approve development agreement [25-0666] | 2025-05-19: approve development agreement [25-0756] (approved),,,https://councildocs.dsm.city/communications/2025/25-193.pdf,1,Amount: To be determined.
,Workforce Housing Tax Credit (WHTC) benefit applications - nine projects,Residential,,,,,,,193000000.0,"other $1,000,000 ((A) HOA Aston, LLC - estimated WHTC benefit; The Aston Project, 161 housing units at 603 E. 6th Street, $49,875,000 project; local match est. $4,500,000 from TIF economic development grant); other $1,000,000 ((B) Lawmark LP - estimated WHTC benefit; Mezzon on Walnut Project, 209 units at 606 Walnut Street, $77,000,000 project; local match est. $10,000,000 from TIF economic development grant); other $540,000 ((C) Cold Storage Rehab, LLC - estimated WHTC benefit; Cold Storage Redevelopment Project, 36 townhome units at 2814 7th Street, $9,853,625 project; local match est. $523,000 from tax abatement); other $1,000,000 ((D) 111 11th Street, LLC - estimated WHTC benefit; 111 11th Street Project, 85 units at 111 11th Street, $16,000,000 project; local match est. $519,978 from tax abatement); other $1,000,000 ((E) SEDU, LLC - estimated WHTC benefit; SEDU Village Project, 78 units at 1214 31st Street, $17,020,466 project; local match est. $477,157 from tax abatement); other $360,000 ((F) Vale Street LLC - estimated WHTC benefit; SE Bottoms Rowhomes Project, 24 units at 709 Vale Street, $4,845,806 project; local match est. $344,639 from tax abatement); other $567,381 ((G) Telus Condos, LLC - estimated WHTC benefit; Telus Condos Phase 1 Project, 32 condo units at 1310 Murphy Street, $9,197,822 project; local match est. $1,278,000 from TIF economic development grant); other $210,000 ((H) 615 Euclid, LLC - estimated WHTC benefit; University of Commerce Historic Building Project, 14 units at 615 Euclid Avenue, $4,493,610 project; local match est. $28,250 from tax abatement); other $300,000 ((I) Campanello, LLC - estimated WHTC benefit; Columbus Park Lofts, 11 units at 2024 SE 6th Street, $5,000,000 project; local match est. $38,450 from tax abatement)",approved,,,,,,,,,,,,650.0,,25-0741,other,2025-05-19,approved,7-0,Council Member Simonson declared a conflict of interest and abstained on sub-items (G) Telus Condos and (H) 615 Euclid (each carried 6-0),high,,2025-05-19: other [25-0741] (approved),,2025-05-19,https://councildocs.dsm.city/communications/2025/25-197.pdf,1,"WHTC benefits estimated at $5,977,381"
"Goldfinch Apartments, LP",Goldfinch Apartments mixed-use redevelopment,Mixed-use,3404-3422 Ingersoll Avenue,,,,,"Forgivable loan equivalent to 82% of the project generated TIF in Years 4 through 8, NPV at 4.5% discount rate",12355000.0,"forgivable loan $300,000 (Forgivable loan sized as 82% of project-generated TIF Years 4-8 (NPV at 4.5%); advanced within 30 days of issuance of certificate of completion); tax abatement (Project eligible for the three (3)-year 100% commercial tax abatement schedule)",approved,,30.0,300000.0,5198803.0,4366989.0,,,689000.0,1973.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,Ingersoll-Grand Urban Renewal Area,25-0662,approve development agreement,2025-05-05,approved,7-0,,high,multi_meeting_project,2025-01-27: resolution of intent [25-0124] (approved) | 2025-05-05: approve development agreement [25-0662] (approved),,2025-05-05,https://councildocs.dsm.city/communications/2025/25-186.pdf,1,"forgivable loan in the amount of $300,000"
