Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
,"Amended and Restated Minimum Assessment Agreement, 4347 Merle Hay Road",Commercial (MAA / abatement),4347 Merle Hay Road,,,,,,,tax abatement (Commercial tax abatement per Iowa Code 404; amended and restated MAA corrects an incorrect legal description; no change to the minimum assessment value (value not restated in this CC)),approved,,,,,,,,12400000.0,1976.0,,,,,26-0437,amend agreement,2026-04-06,approved,7-0,,medium,figure_not_in_source;multi_meeting_project,2025-07-14: other [25-0979] (approved) | 2026-04-06: amend agreement [26-0437] (approved),,,https://councildocs.dsm.city/communications/2026/26-127.pdf,1,Amended and Restated Minimum Assessment Agreement (MAA) for 4347 Merle Hay
INGERSOLL THEATER LLC,"Minimum assessment agreement for commercial tax abatement, 3711 Ingersoll Avenue",Commercial (MAA / abatement),"3711 Ingersoll Ave, Des Moines, IA 50312",,,,,,,"tax abatement (Commercial tax abatement per Iowa Code 404; minimum assessment agreement value $205,000)",approved,,,,,,,,205000.0,1970.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,,26-0313,other,2026-03-09,approved,7-0,,medium,figure_not_in_source,2026-03-09: other [26-0313] (approved),,,https://councildocs.dsm.city/communications/2026/26-093.pdf,1,"INGERSOLL THEATER LLC $205,000"
UTILITY SPECIALISTS LLC; REASONER'S GARAGE INC.,Minimum assessment agreements for commercial tax abatement (2 properties),Commercial (MAA / abatement),"601 Army Post Rd and 403 E. Jackson Ave, Des Moines, IA 50315",,,,,,,"tax abatement (Commercial tax abatement per Iowa Code 404; minimum assessment agreement value $56,000 for 601 Army Post Rd (Utility Specialists LLC)); tax abatement (Commercial tax abatement per Iowa Code 404; minimum assessment agreement value $86,000 for 403 E. Jackson Ave (Reasoner's Garage Inc.))",approved,,,,,,,,56000.0,2025.0,,,,,26-0184,other,2026-02-09,approved,7-0,,medium,figure_not_in_source,2026-02-09: other [26-0184] (approved),,,https://councildocs.dsm.city/communications/2026/26-035.pdf,1,"UTILITY SPECIALISTS LLC $56,000"
Riverview Parking LLC,,Other,,,,,,,,,approved,,,,,,,,,,,,,,26-0070,other,2026-01-12,approved,6-0,Council Member Mandelbaum declared a conflict of interest and abstained from voting,low,figure_not_in_source,2026-01-12: other [26-0070] (approved),,,https://councildocs.dsm.city/agendas/ag20260112.pdf,6,Collateral Assignment of Urban Renewal Development Agreement with Riverview Parking LLC
,Four minimum assessment agreements for commercial tax abatement (Iowa Code 404),Commercial (MAA / abatement),4814 SW 9th Street; 515 Euclid Avenue; 2001 E Grand Avenue; 3115 Douglas Avenue,,,,,,,"tax abatement (4814 SW 9th Street (SS Holding Company LLC): minimum assessment agreement value $182,100); tax abatement (515 Euclid Avenue (515 Euclid LLC): minimum assessment agreement value $32,300); tax abatement (2001 E Grand Avenue (JDE Investments LLC and ARB Properties LLC): minimum assessment agreement value $876,000); tax abatement (3115 Douglas Avenue (Inmobiliaria World Holdings Inc): minimum assessment agreement value $368,000)",approved,,,,,,,,1750300.0,2024.0,,,,,25-1604,other,2025-12-08,approved,7-0,,medium,figure_not_in_source,2025-12-08: other [25-1604] (approved),,,https://councildocs.dsm.city/communications/2025/25-447.pdf,1,Minimum assessment values for each property are shown below
,Minimum Assessment Agreements - 4205 and 4241 Merle Hay Road,Commercial (MAA / abatement),4205 Merle Hay Road; 4241 Merle Hay Road,,,,,,,"tax abatement ((A) 4205 Merle Hay Road: commercial tax abatement with Minimum Assessment Agreement of $1,010,000; new construction Green State Credit Union branch); tax abatement ((B) 4241 Merle Hay Road: commercial tax abatement with Minimum Assessment Agreement of $395,500; new construction 7 Brew coffee shop; Park Hill Holdings LLC)",approved,,,,,,,,1744000.0,2025.0,,,,,35,other,2025-06-09,approved,7-0,,medium,figure_not_in_source,2025-06-09: other [35] (approved),,,https://councildocs.dsm.city/communications/2025/25-217.pdf,1,"Minimum assessment of $1,010,000."
Joppa Experience LLC,Joppa Experience restaurant,Retail / restaurant,1829 6th Avenue,,,,,,,"forgivable loan (Phase 1 forgivable loan for NCR-eligible projects; individual amount not stated); loan (Phase 1 non-forgivable loan for drywall and framing to separate kitchen from customer-facing area; individual amount not stated); grant (Phase 2 assistance structured consistent with traditional NCR grant program; individual amount not stated. Total assistance across all phases remains the $60,763 originally approved under NCR Round 3-ARPA (Roll Call 23-0496))",approved,,,,,,,,168000.0,1979.0,DES MOINES METRO CENTER MERGED UR,,,,24-0804,approve development agreement,2024-06-03,approved,7-0,,medium,figure_not_in_source,2024-06-03: approve development agreement [24-0804] (approved),,,https://councildocs.dsm.city/communications/2024/24-241.pdf,1,"in the amount of $60,763"
"The District Developer, LLC",Market District redevelopment,Mixed-use,vicinity of East 4th and East Market Streets (Market District),,,,,"Project-generated TIF economic development grant, 20 years per development project upon completion; construction must commence by Oct 2030",,,approved,,,,,,,,,,,,,Metro Center Urban Renewal Area,24-0753,amend agreement,2024-05-20,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2020-06-08: resolution of intent [20-0914] (approved) | 2021-12-06: amend agreement [21-1827] (approved) | 2022-07-18: amend agreement [22-1143] (approved) | 2022-08-22: amend agreement [22-1332] (approved) | 2022-11-21: amend agreement [22-1801] (approved) | 2023-10-02: amend agreement [23-1341] (approved) | 2024-05-20: amend agreement [24-0753] (approved),,,https://councildocs.dsm.city/communications/2024/24-223.pdf,1,provide a one (1)-year extension to the deadline
"Kemin Industries, Inc. and Kemin Holdings, LC","Kemin 340,500 sq ft warehouse",Industrial / warehouse,606 SE 23rd Street,2513007.0,NPV (as extracted; CC NPV differs),,9.0,"80% of project-generated tax increment from taxable building valuations (exclusive of land) for 3 years after expiration of industrial tax abatement; TIF economic development grant capped at $2 million NPV; estimated NPV $1,846,749 (~6.07% of total project costs)",28000000.0,"tax abatement (Industrial Tax Abatement provision, Iowa Code Section 427B (abatement schedule 75%, 60%, 45%, 30%, 15%); developer will seek tax abatement upon completion)",completed,2025-09-29,30.0,0.0,47350058.0,46512904.0,,,,,,,,Southeast Ag Urban Renewal Area,24-0501,approve development agreement,2024-04-01,approved,7-0,,high,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,2024-02-19: resolution of intent [24-0257] (approved) | 2024-04-01: approve development agreement [24-0501] (approved) | 2026-06-29: amend agreement [26-0749] (approved),2024-04-01,2024-04-01,https://councildocs.dsm.city/communications/2024/24-138.pdf,1,"The total Tax Increment Finance (TIF) assistance is estimated at $2,513,007"
,Court Avenue Lofts,Residential,,,,,,,,,approved,,,,,,,,,,,,,,23-1437,other,2023-10-23,approved,6-0,,low,,2023-10-23: other [23-1437] (approved),,,https://councildocs.dsm.city/agendas/ag20231023.pdf,7,Consent to Assignment and Assumption of Urban Renewal Development Agreement for Court Avenue Lofts
