urban_renewal_area,projects,tif_npv_usd,cost_usd,net_public_gain_usd,assessed_value_usd
DES MOINES METRO CENTER MERGED UR,55,82190490,921766000,164682309,549532400
DES MOINES SOUTHSIDE ECONOMIC DEVELOPMENT UR,1,9600000,16500000,618886,11510000
DES MOINES INGERSOLL-GRAND COMMERCIAL UR,9,5178627,128610000,20171622,64090000
DES MOINES UPPER EAST VILLAGE URBAN RENEWAL,1,4500000,44000000,16036600,801000
DES MOINES 38TH AND GRAND UR,1,3300000,33500000,12580571,17300000
DES MOINES OAK PARK-HIGHLAND PARK UR,5,2063223,13335000,4850130,2694700
DES MOINES SW 42ND & ARMY POST UR,1,1016267,5900000,1149471,29139890
DES MOINES FLEUR DRIVE COMMERCIAL UR,3,780390,9000000,1271464,2414200
DES MOINES FOREST AVENUE UR,1,731319,7600000,0,5050000
DES MOINES SE AGRI BUSINESS PARK UR,2,275000,4250000,3044986,27310000
DES MOINES SOUTHWEST GATEWAY UR,1,0,0,0,25200000
DES MOINES CENTRAL PLACE INDUSTRIAL PARK UR,1,0,13900000,0,149000
