rank,neighborhood,projects,built,tif_npv_usd,cost_usd,tif_pct_of_cost,net_public_gain_usd,assessed_value_usd,urban_renewal_areas
1,Downtown Des Moines,34,11,58046975,597310000,9.7,102084357,406800100,DES MOINES METRO CENTER MERGED UR; Metro Center Urban Renewal Area
2,Historic East Village,18,7,24632356,308046000,8.0,64604456,107025400,DES MOINES METRO CENTER MERGED UR; DES MOINES UPPER EAST VILLAGE URBAN RENEWAL; Metro Center Urban Renewal Area
3,McKinley School/Columbus Park,2,2,5800000,112200000,5.2,30720390,17408900,DES MOINES METRO CENTER MERGED UR; Metro Center Urban Renewal Area
4,Easter Lake Area,1,0,5724899,25989600,22.0,31530291,56120,East Army Post Road Urban Renewal Area
5,Salisbury Oaks,1,1,4800000,37400000,12.8,25868159,45700,38th and Grand Urban Renewal Area - TIF District #1
6,North of Grand,4,0,3300000,58210000,5.7,16947560,18883000,DES MOINES 38TH AND GRAND UR; DES MOINES INGERSOLL-GRAND COMMERCIAL UR
7,Highland Park/Oak Park,6,4,2063223,13335000,15.5,4850130,3050700,DES MOINES OAK PARK-HIGHLAND PARK UR
8,River Bend,7,2,1310000,47660000,2.7,1909419,4200400,DES MOINES CENTRAL PLACE INDUSTRIAL PARK UR; DES MOINES METRO CENTER MERGED UR
9,Woodland Heights,3,1,1050000,25100000,4.2,3842906,9705900,DES MOINES INGERSOLL-GRAND COMMERCIAL UR
10,Sherman Hill,2,1,940000,12000000,7.8,4483359,1273000,DES MOINES METRO CENTER MERGED UR
11,Drake,4,0,931319,15680000,5.9,2438540,8866500,Carpenter Urban Renewal Area; DES MOINES FOREST AVENUE UR
12,Watrous South,3,0,780390,9000000,8.7,1271464,2414200,DES MOINES FLEUR DRIVE COMMERCIAL UR
13,Merle Hay,3,0,674000,6200000,10.9,3613879,14780000,
14,Cheatom Park,1,0,0,0,,0,1750300,
15,South Central DSM,1,0,0,0,,0,56000,
16,Martin Luther King Jr. Park,1,0,0,1980000,,0,12900,
17,Southwestern Hills,1,0,0,0,,0,25200000,DES MOINES SOUTHWEST GATEWAY UR
